"CNPJ Emitente","Razão Social Emitente","Data Emissão","Valor Total da Nota","Vencimento1","Valor1","Vencimento2","Valor2","Vencimento3","Valor3","Produto","Quantidade","Vlr.Unitário","Vlr.Total Produto","DANFE"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","CEBOLA ROXA","6,0000","6,7200000000","40,32","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","CENOURA","1,2000","6,0000000000","7,20","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","LARANJA PERA","0,9500","4,4480000000","4,23","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","LIMAO TAHITI","3,2900","7,5000000000","24,68","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","MANGA PALMER","1,2200","7,5200000000","9,17","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","MORANGO","3,0000","9,0000000000","27,00","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","OVO BRANCO","2,0000","24,0000000000","48,00","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","PALMITO PUPUNHA","1,0000","19,2000000000","19,20","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","PIMENTAO VERMELHO","0,4100","22,0000000000","9,02","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","RUCULA HIDROPONICA","2,0000","4,0000000000","8,00","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","SALSA CRESPA","1,0000","6,4000000000","6,40","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","TOMATE CEREJA","1,0000","3,5200000000","3,52","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","TOMATE CEREJA AMARELO","1,0000","8,0000000000","8,00","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","TOMATE SALADA","5,0000","10,4000000000","52,00","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","BROCOLIS NINJA","2,0000","8,0000000000","16,00","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","CEBOLINHA COMUM","1,0000","3,2000000000","3,20","000.023.233"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","20/10/2025","1.169,66","04/11/2025","584,83","11/11/2025","584,83","","","ARROZ ARBORIO LA PASTINA CX10X1KG VAL APROX TRIBUTOS R$ 39.76 (26.33%) FONTE: IBPT","5,00","30,20","151,00","000.338.589"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","20/10/2025","1.169,66","04/11/2025","584,83","11/11/2025","584,83","","","ARROZ BRANCO T1 CAMIL FD6X5KG VAL APROX TRIBUTOS R$ 8.24 (15.73%) FONTE: IBPT","2,00","26,20","52,40","000.338.589"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","20/10/2025","1.169,66","04/11/2025","584,83","11/11/2025","584,83","","","DAMASCO TURCO KING FOODS PCT 1KG VAL APROX TRIBUTOS R$ 75.56 (42.69%) FONTE: IBPT","2,00","88,50","177,00","000.338.589"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","20/10/2025","1.169,66","04/11/2025","584,83","11/11/2025","584,83","","","LEITE DE COCO SOCOCO CX12XILITRO VAL APROX TRIBUTOS R$ 202.15 (26.33%) FONTE: IBPT","24,00","31,99","767,76","000.338.589"
"21.498.077/0001-03","FORTE ALIMENTOS COMERCIO E IMP LTDA","20/10/2025","1.169,66","04/11/2025","584,83","11/11/2025","584,83","","","MOLHO SHOYU SAKURA CX12X1L VAL APROX TRIBUTOS R$ 6.90 (32.09%) FONTE: IBPT","1,00","21,50","21,50","000.338.589"
"30.161.877/0001-25","IMI REPRESENTACAO DE ALIMENTOS LTDA","29/10/2025","238,24","05-11-2025","238,24","","","","","BRIE SAO VICENTE FORMA","3,268","72,90","238,24","000.051.789"
"29.835.524/0001-84","ROMEU PASQUANTONIO","28/10/2025","2.028,00","04/11/2025","1.014,00","11/11/2025","1.014,00","","","CAMARAO 11/15 DESC EVISC TELSON","12,0000","169,000000","2.028,00","000.009.743"
"60.409.075/0540-82","NESTLE BRASIL LTDA","07/10/2025","2.587,50","06/11/2025","2587,50","","","","","RISTRETTO","400,000","2,250000","900,00","005.919.375"
"60.409.075/0540-82","NESTLE BRASIL LTDA","07/10/2025","2.587,50","06/11/2025","2587,50","","","","","LEGGERO","350,000","2,250000","787,50","005.919.375"
"60.409.075/0540-82","NESTLE BRASIL LTDA","07/10/2025","2.587,50","06/11/2025","2587,50","","","","","FORTE","400,000","2,250000","900,00","005.919.375"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","21/10/2025","1.051,00","04/11/2025","1.051,00","","","","","SÃO LOURENÇOS. LOURENCO PET 300ML COM GAS 12UN","13,00","30,39","395,07","124842"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","21/10/2025","1.051,00","04/11/2025","1.051,00","","","","","SÃO LOURENÇOS. LOURENCO PET 300ML SEM GAS 12UN","9,00","26,33","236,97","124842"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","21/10/2025","1.051,00","04/11/2025","1.051,00","","","","","PRATA-PRATA MIXER LATA 269ML TONICA ZERO","1,00","26,16","26,16","124842"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","21/10/2025","1.051,00","04/11/2025","1.051,00","","","","","HEINEKEN - HEINEKEN LONG NECK 330ML NORMAL 24UN","2,00","160,56","321,12","124842"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","21/10/2025","1.051,00","04/11/2025","1.051,00","","","","","COCA COLA-COCA COLA LATA 350ML NORMAL 12UN","1,00","44,28","44,28","124842"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","21/10/2025","1.051,00","04/11/2025","1.051,00","","","","","SCHWEPPES-SCHWEPPES CITRUS LATA 350ML NORMAL 6UN","1,00","27,40","27,40","124842"
