CNPJ Emitente,Razão Social Emitente,Data Emissão,Valor Total da Nota,Vencimento1,Valor1,Vencimento2,Valor2,Vencimento3,Valor3,Produto,Quantidade,Vlr.Unitário,Vlr.Total Produto
09.640.611/0002-50,EMPORIO MEL COMERCIO DE ALIMENTOS E BI,27/10/2025,"1.758,20",03/11/2025,"879,10",10/11/2025,"879,10",,,MOSTARDA DIJON BEAUFOR 200GRS,1,"26,56","26,56"
09.640.611/0002-50,EMPORIO MEL COMERCIO DE ALIMENTOS E BI,27/10/2025,"1.758,20",03/11/2025,"879,10",10/11/2025,"879,10",,,OLEO DE GIRASSOL LIZA 900 ML,20,"19,43","388,60"
09.640.611/0002-50,EMPORIO MEL COMERCIO DE ALIMENTOS E BI,27/10/2025,"1.758,20",03/11/2025,"879,10",10/11/2025,"879,10",,,"MOLHO SHOYO SAKURA 1,010ML",1,"18,08","18,08"
09.640.611/0002-50,EMPORIO MEL COMERCIO DE ALIMENTOS E BI,27/10/2025,"1.758,20",03/11/2025,"879,10",10/11/2025,"879,10",,,SUCO DE MARACUJA MAGUARY 500 ML,2,"10,77","21,54"
14.798.308/0001-39,PEIXE GOURMET IMPORTACAO E EXPORTACAO LTDA,10/10/2025,"719,88",01/11/2025,"719,88",,,,,POLVO TENTACULO NACIONAL-120/200-CX 12 KG,12.000,59.990,719.88
36.226.780/0001-30,FABENE CIA DE ALIMENTOS LTDA,20/10/2025,"910,16",03/11/2025,"910,16",,,,,BERKSHIRE COSTELA JANELA,"20,7800","13,80","910,16"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,ABACAXI,"9,6000000000","6,0000","57,60"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,ABOBRINHA ITALIANA,"1,3000","6,4000000000","8,32"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,AGRIAO HIDROPONICO,"3,2000000000","2,0000","6,40"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,ALECRIM,"12,8000000000","1,0000","12,80"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,ALFACE CRESPA,"2,5600000000","2,0000","5,12"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,ALFACE ROXA HIDROPONICA,"2,4000000000","2,0000","4,80"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,ALHO ROXO COM CASCA,"30,4000000000","2,0000","60,80"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,BANANA TERRA,"11,7600000000","4,7000","55,27"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,BANANA NANICA,"7,1200000000","2,8000","19,94"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,BATATA LAVADA,"5,3600000000","8,0000","42,88"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,CEBOLA BRANCA,"2,3000000000","3,0000","6,90"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,CENOURA,"6,0000000000","1,0600","6,36"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,SHIMEJI PRETO,"11,2500000000","2,0000","22,50"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,SHITAKE,"12,8000000000","2,0000","25,60"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,COENTRO,"6,0000000000","2,0000","12,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,HORTELA,"9,6000000000","0,5000","4,80"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,LIMAO TAHITI,"3,6800","7,5000000000","27,60"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,MACA VERDE,"0,3200","15,6800000000","5,02"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,MANGA PALMER,"1,0000","7,5200000000","7,52"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,MANJERICAO ROXO,"1,0000","9,6000000000","9,60"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,MORANGO,"4,0000","9,0000000000","36,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,OVO BRANCO,"1,0000","24,0000000000","24,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,PALMITO PUPUNHA,"1,0000","19,2000000000","19,20"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,PIMENTA DEDO MOCA,"0,1500","36,0000000000","5,40"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,PIMENTAO VERMELHO,"0,7000","22,0000000000","15,40"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,RUCULA HIDROPONICA,"2,0000","4,0000000000","8,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,SALSA CRESPA,"3,0000","6,4000000000","19,20"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,TOMATE CEREJA,"2,0000","3,5200000000","7,04"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,TOMATE CEREJA AMARELO,"2,0000","8,0000000000","16,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,TOMATE SALADA,"6,0000","10,4000000000","62,40"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,TOMILHO,"1,0000","8,0000000000","8,00"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,CEBOLINHA COMUM,"1,0000","3,2000000000","3,20"
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,24/10/2025,"632,87",01/11/2025,"632,87",,,,,MANDIOCA DESCASCADA,"1,0000","7,2000000000","7,20"
52.604.311/0003-25,LEVITARE - INDUSTRIA E COMERCIO DE LATICINIOS LTDA,27/10/2025,"448,92",03/11/2025,"448,92",,,,,QJO TIPO BURRATA DE MOZZARELLA DE BUFALA-POTE 150g CX C/6 UN,"4,0000","112,230000","448,92"
